Cell_id	Site01	Site02	Site03
step9_MTr_44btmtxi46cfowc9syvd_cell6	R-17	R-3	R-2
step9_MTr_dv2s451wzf8ww51y74bw_cell6	R-17	R-8	R-3
step9_ExE_nibp8ht25gt3rmx9o78s_cell10	R-17	R-5	R-39
step9_ExE_1ydq5j6hqtviq3szwye8_cell21	R-17	R-8	R-3
step9_VE_iblms369zydmqt8amgrd_cell4	R-17	R-8	R-3
step9_VE_i6npw3bak618i1y16f5d_cell2	R-17	R-8	R-3
step9_ExE_hqiwx4qppiczqyrmrhlu_cell2	R-17	R-8	R-3
step9_ExEc_28yb9pgez73wp6bfoxpp_cell14	R-17	R-8	R-67
step9_ExE_1ydq5j6hqtviq3szwye8_cell32	R-17	R-5	R-39
step9_ExEc_os9ehd1zh2z9fdsjln4g_cell1	R-17	0	R-2
step9_VE_iblms369zydmqt8amgrd_cell27	R-17	R-8	R-3
step9_ExEc_28yb9pgez73wp6bfoxpp_cell27	R-17	R-8	R-3
step9_MTr_44btmtxi46cfowc9syvd_cell39	R-17	R-8	R-3
step9_VE_iblms369zydmqt8amgrd_cell28	R-17	R-16	R-2
step9_ExE_1ydq5j6hqtviq3szwye8_cell15	R-17	R-16	R-2
step9_Foregut1_vdqe4sttl8x4tibsrkan_cell4	R-17	R-5	R-88
step9_ExE_dt43yh3gij1w2up49fpj_cell2	R-17	R-5	R-5
step9_ExE_dt43yh3gij1w2up49fpj_cell13	R-17	R-8	R-3
step9_Foregut1_vdqe4sttl8x4tibsrkan_cell26	R-17	R-5	R-39
step9_VE_dt1zyooaebih7jfyog3r_cell33	R-17	R-8	R-3
step9_VE_kewg3vf3pyzl626kck29_cell10	R-17	R-16	R-2
step9_ExEc_zwtydq6cdu36vroqak71_cell4	R-17	R-46	R-2
step9_ExE_nibp8ht25gt3rmx9o78s_cell11	R-17	R-16	R-2
step9_VE_dt1zyooaebih7jfyog3r_cell5	R-17	R-16	R-2
step9_ExE_nibp8ht25gt3rmx9o78s_cell39	R-17	R-16	R-2
step9_ExE_nibp8ht25gt3rmx9o78s_cell24	R-17	R-8	R-3
step9_ExE_4jh7vjt1mslnqxw7uaro_cell2	R-17	R-8	R-3
step9_VE_dt1zyooaebih7jfyog3r_cell30	R-17	R-8	R-3
step9_ExEc_28yb9pgez73wp6bfoxpp_cell10	R-17	R-8	R-3
step9_VE_fp7uuy3ecudnfyzvtnmf_cell1	R-17	R-16	R-2
step9_ExEc_wsgftfkniik728dyrozi_cell34	R-17	R-8	R-11
step9_Foregut1_vdqe4sttl8x4tibsrkan_cell8	R-17	R-5	R-5
